algorithm,seed,scene,coverage_percent,time_to_coverage_sec,distance_travelled_m,efficiency,steps,load_balance_cv,blocked_moves,min_pedestrian_clearance_m,robot_robot_collisions,robot_ped_violations,json_path
baseline_random_walk,0,static_A,0.5332446808510638,,894.6500000000001,0.0005960371998558808,1200,0.001133709426876363,0,,2,0,results\lab\full_static\static_A__baseline_random_walk__seed0.json
baseline_random_walk,1,static_A,0.43617021276595747,,889.0500000000009,0.0004906025676463157,1200,0.005002656452015565,3,,7,0,results\lab\full_static\static_A__baseline_random_walk__seed1.json
baseline_grid,0,static_A,0.25132978723404253,,899.75,0.0002793329116243874,1200,0.0003929462523959697,0,,0,0,results\lab\full_static\static_A__baseline_grid__seed0.json
baseline_grid,1,static_A,0.24689716312056736,,899.6500000000001,0.00027443690670879493,1200,0.00043761506552609353,0,,2,0,results\lab\full_static\static_A__baseline_grid__seed1.json
baseline_voronoi,0,static_A,0.8266843971631206,,899.425,0.0009191254381000313,1200,0.0007343494351181269,0,,0,0,results\lab\full_static\static_A__baseline_voronoi__seed0.json
baseline_voronoi,1,static_A,0.8125,,898.2,0.00090458695168114,1200,0.0028340953153769615,0,,4,0,results\lab\full_static\static_A__baseline_voronoi__seed1.json
baseline_frontier,0,static_A,0.7712765957446809,,897.0495752500058,0.0008597926101572789,1200,0.0002764359328912775,0,,251,0,results\lab\full_static\static_A__baseline_frontier__seed0.json
baseline_frontier,1,static_A,0.7384751773049646,,897.2626674954836,0.0008230312082037913,1200,5.312732133197222e-05,0,,462,0,results\lab\full_static\static_A__baseline_frontier__seed1.json
boustrophedon,0,static_A,0.29654255319148937,,900.0,0.00032949172576832153,1200,0.0,0,,30,0,results\lab\full_static\static_A__boustrophedon__seed0.json
boustrophedon,1,static_A,0.30895390070921985,,899.975,0.00034329164777823813,1200,3.928480131036443e-05,0,,31,0,results\lab\full_static\static_A__boustrophedon__seed1.json
stc,0,static_A,0.46852836879432624,,899.4462909364571,0.0005209075555879147,1200,0.00035445352225128824,0,,1,0,results\lab\full_static\static_A__stc__seed0.json
stc,1,static_A,0.3820921985815603,,899.2732431758782,0.00042488998920079226,1200,0.00031618072788120946,0,,0,0,results\lab\full_static\static_A__stc__seed1.json
darp_boustro,0,static_A,0.3271276595744681,,659.3454521981521,0.0004961400104965871,1200,0.23830736511598205,0,,4,0,results\lab\full_static\static_A__darp_boustro__seed0.json
darp_boustro,1,static_A,0.30629432624113473,,536.913446133142,0.0005704724447619456,1200,0.49538189179575814,0,,27,0,results\lab\full_static\static_A__darp_boustro__seed1.json
darp_stc,0,static_A,0.27437943262411346,,596.1271263111363,0.0004602700003302765,1200,0.21766423476795319,0,,2,0,results\lab\full_static\static_A__darp_stc__seed0.json
darp_stc,1,static_A,0.2424645390070922,,593.8932169501979,0.00040826285279399737,1200,0.4593452847162472,0,,0,0,results\lab\full_static\static_A__darp_stc__seed1.json
cbs_boustrophedon,0,static_A,0.29654255319148937,,900.0,0.00032949172576832153,1200,0.0,0,,30,0,results\lab\full_static\static_A__cbs_boustrophedon__seed0.json
cbs_boustrophedon,1,static_A,0.30895390070921985,,899.975,0.00034329164777823813,1200,3.928480131036443e-05,0,,31,0,results\lab\full_static\static_A__cbs_boustrophedon__seed1.json
cbs_darp_boustro,0,static_A,0.3271276595744681,,659.3454521981521,0.0004961400104965871,1200,0.23830736511598205,0,,4,0,results\lab\full_static\static_A__cbs_darp_boustro__seed0.json
cbs_darp_boustro,1,static_A,0.30629432624113473,,536.913446133142,0.0005704724447619456,1200,0.49538189179575814,0,,27,0,results\lab\full_static\static_A__cbs_darp_boustro__seed1.json
ml_guided,0,static_A,0.0013297872340425532,,0.7110116737045393,0.0018702748256073582,1200,0.1977865411774798,0,,0,0,results\lab\full_static\static_A__ml_guided__seed0.json
ml_guided,1,static_A,0.0013297872340425532,,0.43125526794897157,0.0030835269337507565,1200,0.09488635428660756,0,,0,0,results\lab\full_static\static_A__ml_guided__seed1.json
