algorithm,seed,scene,coverage_percent,time_to_coverage_sec,distance_travelled_m,efficiency,steps,load_balance_cv,blocked_moves,min_pedestrian_clearance_m,robot_robot_collisions,robot_ped_violations,json_path
baseline_grid,0,dynamic_B_long,0.8,649.3000000000001,3874.5,0.00020647825525874308,6493,0.19379603917166624,3981,0.06502463463767975,180,530,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed0.json
baseline_grid,1,dynamic_B_long,0.8,433.8,3243.0,0.00024668516805427076,4338,0.004578859822669596,42,0.0811880615837216,0,149,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed1.json
baseline_grid,2,dynamic_B_long,0.8,390.3,2906.75,0.0002752214672744474,3903,0.006114345088905555,82,0.04565447961071291,61,301,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed2.json
baseline_grid,3,dynamic_B_long,0.8,367.90000000000003,2735.0,0.00029250457038391227,3679,0.012539187893070406,97,0.11229250595970221,0,474,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed3.json
baseline_grid,4,dynamic_B_long,0.8,368.3,2447.25,0.00032689753805291655,3683,0.16688235130097515,1260,0.08193955617872273,5,216,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed4.json
baseline_voronoi,0,dynamic_B_long,0.8,129.6,859.25,0.0009310445155659005,1296,0.1831085548487619,451,0.2481393386186262,4,29,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed0.json
baseline_voronoi,1,dynamic_B_long,0.8004464285714286,116.4,871.5,0.0009184697975575773,1164,0.002434102516993279,6,0.267415318510361,6,27,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed1.json
baseline_voronoi,2,dynamic_B_long,0.8004464285714286,144.5,857.25,0.000933737449485481,1445,0.3724226293417055,906,0.26000000000000756,7,31,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed2.json
baseline_voronoi,3,dynamic_B_long,0.8004464285714286,150.20000000000002,864.75,0.0009256391194812704,1502,0.4256156315393588,1047,0.14954788690526163,4,37,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed3.json
baseline_voronoi,4,dynamic_B_long,0.8,114.7,859.75,0.0009305030532131434,1147,0.0008224562735522507,2,0.3761059297322804,2,44,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed4.json
baseline_frontier,0,dynamic_B_long,0.8004464285714286,115.60000000000001,863.4723216088664,0.0009270087859677949,1156,0.0008665908089369522,2,0.08987088208003376,2,56,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed0.json
baseline_frontier,1,dynamic_B_long,0.8004464285714286,117.60000000000001,877.3662169498657,0.0009123287552080063,1176,0.0019169079232315969,4,0.306928767699157,4,25,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed1.json
baseline_frontier,2,dynamic_B_long,0.8,114.2,849.5770217084904,0.0009416450534304806,1142,0.00242455381110019,13,0.0972438605967183,13,11,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed2.json
baseline_frontier,3,dynamic_B_long,0.8004464285714286,112.7,841.8184500693856,0.0009508539858035341,1127,0.001069537067007823,0,0.2740000154078706,0,20,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed3.json
baseline_frontier,4,dynamic_B_long,0.8008928571428572,114.2,851.6659157989448,0.0009403838316008483,1142,0.0009243710148058128,4,0.24514761678511782,4,34,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed4.json
darp_boustro,0,dynamic_B_long,0.8,579.5,4346.25,0.000184066724187518,5795,0.0,0,0.08161010152587134,0,59,results\lab\presentation_dynamic\dynamic_B_long__darp_boustro__seed0.json
darp_boustro,1,dynamic_B_long,0.8,682.2,5116.0,0.00015637216575449571,6822,0.00013821477349228842,2,0.24110929208798362,0,60,results\lab\presentation_dynamic\dynamic_B_long__darp_boustro__seed1.json
darp_boustro,2,dynamic_B_long,0.8,399.90000000000003,2998.75,0.00026677782409337226,3999,0.00011790025530413464,2,0.08210282121641134,0,150,results\lab\presentation_dynamic\dynamic_B_long__darp_boustro__seed2.json
darp_boustro,3,dynamic_B_long,0.8,572.9,4295.5,0.0001862414154347573,5729,0.00041153927434905567,5,0.06909109692294066,0,106,results\lab\presentation_dynamic\dynamic_B_long__darp_boustro__seed3.json
darp_boustro,4,dynamic_B_long,0.8,479.20000000000005,3593.0,0.0002226551628165878,4792,0.00039360243873451015,4,0.11583376813860755,0,67,results\lab\presentation_dynamic\dynamic_B_long__darp_boustro__seed4.json
stc,0,dynamic_B_long,0.8008928571428572,181.4,1265.1451484344116,0.0006330442464518351,1814,0.07999872995577688,381,0.05957776712777547,25,96,results\lab\presentation_dynamic\dynamic_B_long__stc__seed0.json
stc,1,dynamic_B_long,0.8,139.6,1029.0,0.0007774538386783285,1396,0.018236145777254815,72,0.1515492521758767,13,46,results\lab\presentation_dynamic\dynamic_B_long__stc__seed1.json
stc,2,dynamic_B_long,0.8,203.4,1360.75,0.0005879110784493846,2034,0.1054120500860112,659,0.1010589233795815,38,150,results\lab\presentation_dynamic\dynamic_B_long__stc__seed2.json
stc,3,dynamic_B_long,0.8,160.8,1105.75,0.0007234908433190143,1608,0.07242040911110798,401,0.03414196767488158,62,95,results\lab\presentation_dynamic\dynamic_B_long__stc__seed3.json
stc,4,dynamic_B_long,0.8004464285714286,196.60000000000002,1354.1571476466295,0.0005911030562165648,1966,0.06495033849387367,481,0.037551359059978084,20,77,results\lab\presentation_dynamic\dynamic_B_long__stc__seed4.json
