algorithm,seed,scene,coverage_percent,time_to_coverage_sec,distance_travelled_m,efficiency,steps,load_balance_cv,blocked_moves,min_pedestrian_clearance_m,robot_robot_collisions,robot_ped_violations,json_path
ml_guided,0,dynamic_B_long,0.8009751773049646,116.30000000000001,872.1499999999999,0.0009183915350627354,1163,0.00010725383783684021,0,4.799272925974229,0,45,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__ml_guided__seed0.json
ml_guided,1,dynamic_B_long,0.8000886524822695,117.0,877.4,0.0009118858587671182,1170,0.0001611823070860972,0,6.708611071445079,0,26,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__ml_guided__seed1.json
ml_guided,2,dynamic_B_long,0.800531914893617,114.4,857.7250000000001,0.0009333200208617177,1144,0.00017967338024894796,0,5.037279097676473,0,32,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__ml_guided__seed2.json
ppo_policy,0,dynamic_B_long,0.8009751773049646,116.30000000000001,872.1499999999999,0.0009183915350627354,1163,0.00010725383783684021,0,4.799272925974229,0,45,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__ppo_policy__seed0.json
ppo_policy,1,dynamic_B_long,0.8000886524822695,117.0,877.4,0.0009118858587671182,1170,0.0001611823070860972,0,6.708611071445079,0,26,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__ppo_policy__seed1.json
ppo_policy,2,dynamic_B_long,0.800531914893617,114.4,857.7250000000001,0.0009333200208617177,1144,0.00017967338024894796,0,5.037279097676473,0,32,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__ppo_policy__seed2.json
baseline_voronoi,0,dynamic_B_long,0.8000886524822695,116.10000000000001,870.675,0.0009189291670052195,1161,0.00012182044640993031,0,4.7680398422319845,0,46,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__baseline_voronoi__seed0.json
baseline_voronoi,1,dynamic_B_long,0.8000886524822695,117.30000000000001,879.7,0.0009095017079484704,1173,8.038044574126458e-05,0,8.360472233574106,0,40,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__baseline_voronoi__seed1.json
baseline_voronoi,2,dynamic_B_long,0.800531914893617,118.60000000000001,889.1500000000001,0.0009003339311630398,1186,0.0003105595517399477,0,7.980243576932028,0,21,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__baseline_voronoi__seed2.json
baseline_frontier,0,dynamic_B_long,0.8000886524822695,115.9,865.5628956317985,0.000924356458115343,1159,0.0015564609978062733,3,4.450053841839978,0,33,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__baseline_frontier__seed0.json
baseline_frontier,1,dynamic_B_long,0.8000886524822695,117.10000000000001,873.8335935206708,0.0009156075692383451,1171,0.0021779399999016552,5,5.316214902873799,0,22,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__baseline_frontier__seed1.json
baseline_frontier,2,dynamic_B_long,0.8000886524822695,115.9,864.8435244724867,0.0009251253317416991,1159,0.0017632933186610945,3,3.4216823282956117,0,44,results\lab\presentation_dynamic_ml_rl\dynamic_B_long__baseline_frontier__seed2.json
