algorithm,seed,scene,coverage_percent,time_to_coverage_sec,distance_travelled_m,efficiency,steps,load_balance_cv,blocked_moves,min_pedestrian_clearance_m,robot_robot_collisions,robot_ped_violations,json_path
baseline_grid,0,dynamic_B_long,0.800531914893617,304.1,2280.55,0.0003510258117092881,3041,0.00010165989010867603,0,3.8215022697764156,0,149,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed0.json
baseline_grid,1,dynamic_B_long,0.8000886524822695,367.1,2752.625,0.00029066387629345423,3671,0.00024404030411961396,2,3.115165494515564,0,45,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed1.json
baseline_grid,2,dynamic_B_long,0.8000886524822695,343.6,2573.375000000001,0.0003109102452935422,3436,0.0016850746947789498,10,6.902144166977385,0,128,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed2.json
baseline_grid,3,dynamic_B_long,0.8000886524822695,316.1,2370.7,0.0003374904679977515,3161,1.491345976264193e-05,0,1.0619006695750395,0,125,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed3.json
baseline_grid,4,dynamic_B_long,0.8000886524822695,421.70000000000005,3162.5499999999997,0.0002529884594653901,4217,5.91557032580768e-05,0,0.8834045698807845,0,370,results\lab\presentation_dynamic\dynamic_B_long__baseline_grid__seed4.json
baseline_voronoi,0,dynamic_B_long,0.8000886524822695,116.10000000000001,870.675,0.0009189291670052195,1161,0.00012182044640993031,0,4.7680398422319845,0,46,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed0.json
baseline_voronoi,1,dynamic_B_long,0.8000886524822695,117.30000000000001,879.7,0.0009095017079484704,1173,8.038044574126458e-05,0,8.360472233574106,0,40,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed1.json
baseline_voronoi,2,dynamic_B_long,0.800531914893617,118.60000000000001,889.1500000000001,0.0009003339311630398,1186,0.0003105595517399477,0,7.980243576932028,0,21,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed2.json
baseline_voronoi,3,dynamic_B_long,0.8000886524822695,114.0,854.9250000000001,0.0009358582945665051,1140,7.16287903261612e-05,0,5.619408235307539,0,23,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed3.json
baseline_voronoi,4,dynamic_B_long,0.8000886524822695,115.2,862.8250000000002,0.0009272896038968149,1152,0.0016860124041347593,4,2.487507131206053,0,23,results\lab\presentation_dynamic\dynamic_B_long__baseline_voronoi__seed4.json
baseline_frontier,0,dynamic_B_long,0.8000886524822695,115.9,865.5628956317985,0.000924356458115343,1159,0.0015564609978062733,3,4.450053841839978,0,33,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed0.json
baseline_frontier,1,dynamic_B_long,0.8000886524822695,117.10000000000001,873.8335935206708,0.0009156075692383451,1171,0.0021779399999016552,5,5.316214902873799,0,22,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed1.json
baseline_frontier,2,dynamic_B_long,0.8000886524822695,115.9,864.8435244724867,0.0009251253317416991,1159,0.0017632933186610945,3,3.4216823282956117,0,44,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed2.json
baseline_frontier,3,dynamic_B_long,0.800531914893617,116.30000000000001,868.250747279327,0.0009220054430152721,1163,0.0015668957890397886,1,11.075746063261583,0,26,results\lab\presentation_dynamic\dynamic_B_long__baseline_frontier__seed3.json
