algorithm,seed,scene,coverage_percent,time_to_coverage_sec,distance_travelled_m,efficiency,steps,load_balance_cv,blocked_moves,min_pedestrian_clearance_m,robot_robot_collisions,robot_ped_violations,json_path
baseline_grid,0,static_A_long,0.7348214285714286,,2446.75,0.0003003255046782175,3600,0.08653836743891694,1013,,62,0,results\lab\presentation_static\static_A_long__baseline_grid__seed0.json
baseline_grid,1,static_A_long,0.7875,,2693.75,0.00029234338747099765,3600,0.0016756816784471264,25,,11,0,results\lab\presentation_static\static_A_long__baseline_grid__seed1.json
baseline_grid,2,static_A_long,0.7678571428571429,,2541.25,0.00030215726231466516,3600,0.07306064242624774,635,,0,0,results\lab\presentation_static\static_A_long__baseline_grid__seed2.json
baseline_grid,3,static_A_long,0.7955357142857142,,2700.0,0.00029464285714285714,3600,0.0,0,,0,0,results\lab\presentation_static\static_A_long__baseline_grid__seed3.json
baseline_grid,4,static_A_long,0.7316964285714286,,2311.25,0.0003165803909449123,3600,0.23718130955114025,1555,,3,0,results\lab\presentation_static\static_A_long__baseline_grid__seed4.json
baseline_voronoi,0,static_A_long,0.9008928571428572,130.5,977.0,0.0009221011843836819,1305,0.0025331358589077957,7,,0,0,results\lab\presentation_static\static_A_long__baseline_voronoi__seed0.json
baseline_voronoi,1,static_A_long,0.9,144.4,984.0,0.0009146341463414635,1444,0.14228368158021992,396,,0,0,results\lab\presentation_static\static_A_long__baseline_voronoi__seed1.json
baseline_voronoi,2,static_A_long,0.9,130.0,974.25,0.0009237875288683603,1300,0.0006285577990205743,3,,3,0,results\lab\presentation_static\static_A_long__baseline_voronoi__seed2.json
baseline_voronoi,3,static_A_long,0.9,129.9,974.25,0.0009237875288683603,1299,0.0,0,,0,0,results\lab\presentation_static\static_A_long__baseline_voronoi__seed3.json
baseline_voronoi,4,static_A_long,0.9,130.6,978.0,0.0009202453987730061,1306,0.0021690392060937044,6,,6,0,results\lab\presentation_static\static_A_long__baseline_voronoi__seed4.json
baseline_frontier,0,static_A_long,0.9004464285714285,130.5,974.2450565989657,0.0009242504465096657,1305,0.0006018269638988049,5,,5,0,results\lab\presentation_static\static_A_long__baseline_frontier__seed0.json
baseline_frontier,1,static_A_long,0.9008928571428572,131.3,979.8409816846612,0.0009194276152788926,1313,0.001133093700014989,2,,2,0,results\lab\presentation_static\static_A_long__baseline_frontier__seed1.json
baseline_frontier,2,static_A_long,0.9,128.6,959.1373893522093,0.0009383431508262336,1286,0.0014839801456092599,5,,5,0,results\lab\presentation_static\static_A_long__baseline_frontier__seed2.json
baseline_frontier,3,static_A_long,0.9004464285714285,129.4,965.1067609850211,0.0009330018863948295,1294,0.0012014950708588853,5,,5,0,results\lab\presentation_static\static_A_long__baseline_frontier__seed3.json
baseline_frontier,4,static_A_long,0.9,128.20000000000002,958.3145985294618,0.0009391487945410141,1282,0.0008768500785655244,0,,0,0,results\lab\presentation_static\static_A_long__baseline_frontier__seed4.json
darp_boustro,0,static_A_long,0.6732142857142858,,2700.0,0.00024933862433862436,3600,0.0,0,,0,0,results\lab\presentation_static\static_A_long__darp_boustro__seed0.json
darp_boustro,1,static_A_long,0.6647321428571429,,2700.0,0.00024619708994708995,3600,0.0,0,,0,0,results\lab\presentation_static\static_A_long__darp_boustro__seed1.json
darp_boustro,2,static_A_long,0.6950892857142857,,2699.75,0.00025746431547894646,3600,0.0001309578259443555,1,,0,0,results\lab\presentation_static\static_A_long__darp_boustro__seed2.json
darp_boustro,3,static_A_long,0.6486607142857143,,2700.0,0.000240244708994709,3600,0.0,0,,0,0,results\lab\presentation_static\static_A_long__darp_boustro__seed3.json
darp_boustro,4,static_A_long,0.7214285714285714,,2699.75,0.00026722050983556676,3600,0.0001309578259443555,1,,0,0,results\lab\presentation_static\static_A_long__darp_boustro__seed4.json
stc,0,static_A_long,0.9,215.3,1503.25,0.000598702810577083,2153,0.06446210367025051,446,,18,0,results\lab\presentation_static\static_A_long__stc__seed0.json
stc,1,static_A_long,0.9,227.20000000000002,1585.75,0.0005675547848021441,2272,0.04777361682276321,473,,36,0,results\lab\presentation_static\static_A_long__stc__seed1.json
stc,2,static_A_long,0.9,227.0,1590.7775647151188,0.0005657610592221136,2270,0.03723492530974583,446,,27,0,results\lab\presentation_static\static_A_long__stc__seed2.json
stc,3,static_A_long,0.9,241.70000000000002,1749.5,0.0005144326950557302,2417,0.017951761980582445,253,,31,0,results\lab\presentation_static\static_A_long__stc__seed3.json
stc,4,static_A_long,0.9,228.10000000000002,1596.625409009816,0.0005636888871499018,2281,0.04534269853388326,456,,22,0,results\lab\presentation_static\static_A_long__stc__seed4.json
